GDI Rank,Country,Location,Gender Development Index (GDI),Human Development Index (Female),Human Development Index (Male),Life Expectancy at Birth (Female),Life Expectancy at Birth (Male),Expected Years of Education (Female),Expected Years of Education (Male),Mean Years of Education (Female),Mean Years of Education (Male),Estimated Gross National Income per Capita (Female),Estimated Gross National Income per Capita (Male)
156,Solomon Islands,Oceania,..,..,..,69.4,66.5,8.8,9.7,..,..,1046,2019
158,Papua New Guinea,Oceania,..,..,..,64.8,60.5,..,..,3.2,4.8,2145,2768
159,Comoros,Africa,0.813,0.443,0.545,65,61.6,11,11.9,3.7,5.6,778,2123
160,Yemen,Asia,0.739,0.414,0.56,65.2,62.5,7.7,10.6,1.3,3.8,1595,5412
161,Lesotho,Africa,0.953,0.482,0.505,49.8,49.6,11.7,10.6,6.5,5.2,2613,4017
162,Togo,Africa,0.831,0.439,0.527,60.4,58.9,10.9,13.4,3,6.3,1084,1376
163,Haiti,Central America,..,..,..,64.9,60.7,..,..,4.2,5.6,1379,1966
163,Rwanda,Africa,0.957,0.472,0.493,67,61.1,10.4,10.2,3.2,4.3,1312,1612
163,Uganda,Africa,0.886,0.452,0.51,60.3,56.7,9.7,9.9,4.5,6.3,1226,1997
166,Benin,Africa,0.823,0.431,0.524,61,58.1,9.4,12.7,2.1,4.6,1493,2043
167,Sudan,Africa,0.83,0.428,0.516,65,62,6.7,7.3,2.5,3.8,1882,5722
168,Djibouti,Africa,..,..,..,63.7,60.4,5.9,6.9,..,..,2019,4522
169,South Sudan,Africa,..,..,..,56.7,54.7,..,..,4.5,5.8,..,..
170,Senegal,Africa,0.883,0.436,0.494,68.3,64.5,7.8,8.1,1.8,3.2,1657,2739
171,Afghanistan,Asia,0.6,0.328,0.546,61.6,59.2,7.2,11.3,1.2,5.1,506,3227
172,Côte d'Ivoire,Africa,0.81,0.41,0.507,52.4,50.7,7.9,10,3.2,5.3,2146,4157
173,Malawi,Africa,0.907,0.423,0.467,63.7,61.7,10.8,10.7,3.4,5.2,679,815
174,Ethiopia,Africa,0.84,0.403,0.479,66,62.2,8,9,1.4,3.6,1090,1765
175,Gambia,Africa,0.889,0.414,0.466,61.6,58.9,8.7,8.9,2,3.7,1267,1753
176,Congo (Democratic Republic of the),Africa,0.833,0.393,0.472,60.1,57.2,8.6,10.8,4.5,7.7,597,765
177,Liberia,Africa,0.789,0.387,0.491,61.8,59.9,8.9,12.4,2.6,5.8,678,930
178,Guinea-Bissau,Africa,..,..,..,57,53.4,..,..,..,..,1135,1593
179,Mali,Africa,0.776,0.363,0.468,57.8,58.2,7.5,9.3,1.5,2.7,961,2195
180,Mozambique,Africa,0.881,0.39,0.443,56.5,53.6,8.8,9.8,2.4,4.3,1040,1210
181,Sierra Leone,Africa,0.814,0.37,0.454,51.4,50.4,7.2,10,2.2,4,1582,1981
182,Guinea,Africa,0.778,0.358,0.46,59.2,58.3,7.3,10,1.4,3.7,877,1314
183,Burkina Faso,Africa,0.881,0.376,427,59.9,57.3,7.4,8.1,1,1.9,1325,1859
184,Burundi,Africa,0.911,0.381,0.418,58.7,54.8,9.6,10.7,2.2,3.1,693,825
185,Chad,Africa,0.768,0.338,0.44,52.7,50.5,5.9,8.9,1,2.9,1657,2513
186,Eritrea,Africa,..,..,..,65.9,61.6,..,..,..,..,971,1290
187,Central African Republic,Africa,0.773,0.303,0.392,52.6,48.8,5.9,8.6,2.8,5.7,476,689
188,Niger,Africa,0.729,0.287,0.394,62.4,60.6,4.8,6.1,0.8,2,491,1319
